Year,State,Data Value
2009,Arizona,6394767
2009,California,41009912
2009,Colorado,6009074
2009,Connecticut,2664364
2009,Delaware,885166
2009,Florida,19282955
2009,Iowa,2745961
2009,Kansas,2703597
2009,Kentucky,4532689
2009,Louisiana,4907473
2009,Maine,661151
2009,Maryland,5132561
2009,Massachusetts,8510321
2009,Minnesota,4235789
2009,Missouri,4645562
2009,New Hampshire,855326
2009,New Jersey,9016086
2009,New Mexico,1800246
2009,New York,16463230
2009,Oregon,3778230
2009,Pennsylvania,10781463
2009,Rhode Island,1000583
2009,South Carolina,3820683
2009,Utah,2698771
2009,Vermont,443471
2009,Washington,5576823
2009,West Virginia,1327443
2009,Wisconsin,3992073